Date,Close,Open,High,Low,Change %,SMA_14,SMA_50,RSI_14,MACD,MACD_Signal,ATR_14,Target_Next_Close,Target_Trend
03/11/2010,1109.45,1108.35,1111.65,1100.44,0.11,1117.8892857142857,1111.066,45.21384928716909,4.3017776690619485,5.27891575376149,17.44714285714289,1102.45,0
03/12/2010,1102.45,1109.65,1119.45,1098.65,-0.63,1117.0857142857144,1111.1680000000001,44.37781109445276,2.7889061141167986,4.7809138258325525,17.40785714285718,1109.1,1
03/15/2010,1109.1,1100.5,1109.8,1100.35,0.6,1117.5892857142858,1110.942,53.70857443450815,2.10230981193331,4.245193023052704,16.522142857142885,1125.7,1
03/16/2010,1125.7,1109.45,1129.45,1109.05,1.5,1119.6821428571427,1111.075,63.82075471698114,2.8646368137901845,3.9690817812002006,16.65785714285718,1125.05,0
03/17/2010,1125.05,1126.1,1133.8,1118.85,-0.06,1121.0357142857142,1110.798,59.773078906652934,3.3774042732072758,3.850746279601616,16.25785714285717,1125.95,1
03/18/2010,1125.95,1124.0,1129.55,1118.4,0.08,1121.7107142857142,1110.671,55.40308747855919,3.81245109442375,3.843087242566043,15.997142857142876,1107.55,0
03/19/2010,1107.55,1125.95,1127.5,1101.95,-1.63,1121.0107142857144,1110.09,45.333333333333364,2.642046739599664,3.6028791419727675,16.99000000000001,1102.3,0
03/22/2010,1102.3,1107.4,1108.85,1092.75,-0.47,1118.7,1109.076,32.59817105970946,1.2761510571638155,3.1375335250109773,16.522142857142853,1102.65,1
03/23/2010,1102.65,1102.45,1108.05,1094.8,0.03,1116.067857142857,1108.575,29.169022046353987,0.21938206315098796,2.5539032326389797,16.56857142857143,1087.5,0
03/24/2010,1087.5,1101.75,1105.4,1085.35,-1.37,1112.8892857142857,1107.549,26.847034339230063,-1.8196179414248945,1.679198997826205,16.893571428571445,1091.35,1
03/25/2010,1091.35,1086.5,1095.95,1085.45,0.35,1109.982142857143,1106.511,29.629629629629676,-3.0892661735979345,0.7255059635413771,16.665000000000013,1106.6,1
03/26/2010,1106.6,1089.55,1110.65,1088.85,1.4,1108.8535714285715,1106.025,42.511848341232174,-2.8322752879944346,0.013949713234214789,16.84714285714288,1109.2,1
03/29/2010,1109.2,1110.55,1115.45,1104.35,0.23,1108.075,1105.549,44.84877126654073,-2.3912451036837865,-0.4670892501493855,16.515000000000036,1103.6,0
03/30/2010,1103.6,1110.25,1114.15,1102.45,-0.5,1107.7464285714284,1104.8590000000002,47.688442211055225,-2.4651816247662737,-0.8667077250727633,15.57214285714289,1113.8,1
03/31/2010,1113.8,1103.7,1118.9,1102.45,0.92,1108.057142857143,1104.9009999999998,52.005532503457765,-1.6813406469843812,-1.029634309455087,15.946428571428603,1126.5,1
04/01/2010,1126.5,1113.4,1128.75,1112.35,1.14,1109.775,1105.528,60.53438458169066,-0.034954232517065975,-0.8306982940674829,15.632142857142899,1120.5,0
04/02/2010,1120.5,1125.0,1125.0,1120.0,-0.53,1110.5892857142858,1106.078,55.022026431718054,0.7767155136609745,-0.5092155325217914,15.42142857142861,1130.7,1
04/05/2010,1130.7,1125.1,1134.2,1119.2,0.91,1110.9464285714287,1106.727,52.33426704014938,2.217462858801582,0.03612014574288325,15.035714285714318,1134.2,1
04/06/2010,1134.2,1130.65,1138.9,1123.0,0.31,1111.6,1107.45,54.16098226466577,3.600185561019316,0.7489332287981698,15.103571428571465,1148.0,1
04/07/2010,1148.0,1134.15,1153.25,1132.8,1.22,1113.175,1108.673,58.974358974358914,5.74334225864277,1.7478150347670898,15.767857142857192,1151.15,1
04/08/2010,1151.15,1149.45,1154.65,1144.4,0.27,1116.2892857142856,1109.97,70.26022304832709,7.608284488876052,2.9199089255888824,14.675000000000052,1160.9,1
04/09/2010,1160.9,1150.95,1165.35,1149.7,0.85,1120.475,1111.557,76.13737734165915,9.760495244883487,4.288026189447804,14.642857142857192,1152.0,0
04/12/2010,1152.0,1165.69,1169.19,1152.0,-0.77,1124.0,1112.45,70.45171985080799,10.625498028138509,5.555520557185945,14.924285714285768,1151.15,0
04/13/2010,1151.15,1155.55,1157.9,1145.75,-0.07,1128.5464285714286,1113.1689999999999,79.92477668077098,11.114312197034906,6.667278885155738,14.360000000000046,1154.9,1
04/14/2010,1154.9,1151.3,1162.6,1150.8,0.33,1133.0857142857144,1114.0739999999998,79.90588235294113,11.66977273167413,7.667777654459417,14.452857142857185,1158.95,1
04/15/2010,1158.95,1155.3,1162.3,1150.85,0.35,1136.825,1115.9840000000002,77.53813782219879,12.295050669278453,8.593232257423224,13.713571428571461,1137.45,0
04/16/2010,1137.45,1158.8,1160.45,1130.65,-1.86,1138.8428571428572,1117.424,62.395787626151794,10.929726538691739,9.060531113676927,15.049285714285734,1135.6,0
04/19/2010,1135.6,1134.65,1138.45,1124.15,-0.16,1141.1285714285716,1118.8609999999999,64.51905626134297,9.58789451001303,9.166003792944148,15.235000000000014,1140.5,1
04/20/2010,1140.5,1135.7,1146.3,1133.45,0.43,1143.0357142857142,1120.125,62.726406101048596,8.818221045834662,9.09644724352225,14.977857142857147,1146.3,1
04/21/2010,1146.3,1140.2,1150.9,1138.25,0.51,1144.45,1121.594,60.102040816326486,8.577386040614101,8.99263500294062,14.710000000000004,1141.45,0
04/22/2010,1141.45,1145.75,1149.5,1132.15,-0.42,1145.9464285714287,1122.5159999999998,60.81569437274136,7.904055070249115,8.77491901640232,15.484999999999998,1157.4,1
04/23/2010,1157.4,1141.5,1158.0,1135.45,1.4,1147.8535714285715,1123.796,63.011695906432756,8.558806531413438,8.731696519404544,16.024285714285707,1154.88,0
04/26/2010,1154.88,1156.5,1160.23,1151.05,-0.22,1149.3307142857143,1124.8736,60.175162369612295,8.773226547637023,8.74000252505104,15.544285714285706,1172.93,1
04/27/2010,1172.93,1153.78,1172.93,1146.55,1.56,1151.1114285714286,1125.9332,61.77387361858885,10.281125688009979,9.048227157642827,15.96785714285714,1165.45,0
04/28/2010,1165.45,1168.03,1174.68,1160.65,-0.64,1152.1328571428571,1126.9382,56.48820326678763,10.748669166216587,9.38831555935758,16.237857142857138,1167.1,1
04/29/2010,1167.1,1164.95,1171.75,1162.55,0.14,1152.5757142857144,1127.8022,53.0362389813907,11.124110134427383,9.73547447437154,15.777142857142865,1179.25,1
